Date,CLAY_COMPOSITION_1 ,COMPRESS,STRENGTH_1,LAYER_ANALYSIS,CLAY_COMPOSITION_2,IGNITION,HUMIDITY,ACIDITY,PRESSURE,STRENGTH_2,GASES_HOT,STRENGTH_3,TOTAL_DEFECT_PERCENTAGE
01-Jan-15,16.14,81.4,2964.82,111.62,6.3,8.98,6.62,NULL,284.6,862.04,6.02,42.34,4.4044
02-Jan-15,16.14,81.26,2986.92,110.94,6.88,8.6,6.62,NULL,287.26,875.96,5.9,42.94,3.2335
03-Jan-15,16.24,81.36,3004.4,110.14,6.44,8.72,6.62,NULL,286.92,879.26,6.14,43.2,3.4646
04-Jan-15,16.38,81.64,3025.6,110.72,6.48,8.66,6.64,NULL,286.56,878,5.94,43.48,4.0541
05-Jan-15,16.38,81.68,3028.4,113.18,7.98,8.74,6.64,NULL,287.36,881,6.14,42.46,5.3824
06-Jan-15,16.42,82.36,3019.28,111.06,8.16,8.86,6.66,NULL,287.24,885.46,6.16,42.7,7.764
07-Jan-15,16.26,81.36,3060,111.2,8.66,8.8,6.62,NULL,283.5,892.86,6.4,42.42,4.6953
08-Jan-15,16.38,82.28,3061.64,111.1,7.96,8.8,6.66,NULL,284.58,888.78,6.16,42.7,3.5543
09-Jan-15,16.64,81.44,3101.5,110.5,7.94,9,6.64,NULL,283.44,901.88,6.32,43.82,6.191
10-Jan-15,16.88,82.28,3133.64,110.62,8.22,8.88,6.66,NULL,283.68,914.78,6.6,42.82,6.4792
11-Jan-15,16.5,81.74,3119.28,110.58,8.18,8.78,6.64,NULL,283.9,910,6.38,43.08,5.1653
12-Jan-15,16.66,81.62,3060,110.76,7.58,8.78,6.64,NULL,283,898.52,6.16,43.32,2.2962
13-Jan-15,16.8,81.4,3054.4,113.64,8.2,8.72,6.62,NULL,283.56,898,6.28,42.2,2.335
14-Jan-15,16.5,82,3127.3,112.38,8.38,8.74,6.66,NULL,284.84,912.5,6.46,43.16,6.4238
15-Jan-15,16.62,82.16,3050.76,110.14,7.82,8.86,6.66,NULL,285.92,901.74,6.34,43.56,1.6429
16-Jan-15,16.64,83.18,3089.8,110.74,8.1,8.96,6.72,NULL,290.28,915.68,6.76,44.4,2.0277
17-Jan-15,16.62,81.68,3099.12,110.04,7.96,8.92,6.64,NULL,282.98,910,6.76,43,4.9724
18-Jan-15,16.42,81.28,3110.76,111.64,7.76,8.88,6.64,NULL,287.58,916.66,6.24,43.18,5.6944
19-Jan-15,16.38,82.24,3048,111,7.92,8.9,6.62,NULL,285.5,898.24,6.74,42.98,3.6316
20-Jan-15,16.38,82.46,3057.2,111.04,7.86,8.86,6.68,NULL,286.94,901.86,6.46,44.26,3.2147
21-Jan-15,16.68,82.24,3055.68,112.28,7.88,8.8,6.66,NULL,287.5,908.44,6.72,42.58,4.4351
22-Jan-15,16.34,82.2,3034.36,112.14,7.2,8.42,6.68,NULL,289.08,911.02,6.32,42.64,4.7473
23-Jan-15,16.38,81.56,3029.8,112.96,6.6,8.6,6.6,NULL,288.44,899.6,6.32,42.86,1.6913
24-Jan-15,16.66,82.18,3051.7,112.9,7.84,8.8,6.66,NULL,288.22,903.02,6.46,42.9,4.5455
25-Jan-15,16.54,81.38,3084.36,111.94,8.66,8.94,6.66,NULL,285.38,910.54,6.74,43.2,4.3249
26-Jan-15,16.66,82,3049.48,112.6,8.54,8.86,6.66,NULL,286.66,912.1,6.66,42.32,4.9729
27-Jan-15,16.68,82.38,3056.14,111.7,8.44,8.8,6.68,NULL,286.74,906.66,6.52,43.46,3.0986
28-Jan-15,16.64,82.56,3113.1,109.78,8.2,8.8,6.68,NULL,288.72,921.2,6.4,44,6.3263
29-Jan-15,16.38,82.24,3085.42,109.24,8.66,8.72,6.68,NULL,287.96,923.34,6.44,43,2.6291
30-Jan-15,16.66,82.48,3098.98,108.14,6.9,8.8,6.68,NULL,287.56,909.5,6.14,44.62,2.994
31-Jan-15,16.66,81.58,3049.28,109.84,6.64,8.68,6.62,NULL,285.4,905.54,6.14,43.2,2.1277
01-Feb-15,16.68,81.92,3077.1,112.04,6.48,8.74,6.64,NULL,284.36,909.64,6.12,42.52,1.9749
02-Feb-15,16.62,81.7,3103.82,110.76,6.32,8.56,6.64,NULL,284.76,920.22,5.98,44.02,1.1745
03-Feb-15,17,82.28,3144.56,111.86,7.88,8.66,6.66,NULL,288,930.36,6.48,43.8,3.7249
04-Feb-15,16.68,82.06,3083.04,110.9,7.42,8.8,6.66,NULL,286.76,910.6,6.24,43.72,2.0543
05-Feb-15,16.52,82.22,3097.46,112.74,6.86,8.72,6.66,NULL,286.34,918.1,6.24,44.7,3.6463
06-Feb-15,16.52,81.9,3074.04,110.64,7.68,9.06,6.66,16.8,288.46,911.92,6.6,45.16,4.3624
07-Feb-15,16.8,82.1,3082.86,111.16,7.62,9,6.68,17.1,287.8,907.62,6.6,45.26,4.3294
08-Feb-15,17.04,82,3110.48,107.78,6.62,8.76,6.62,17.08,287.8,917.62,6.4,45.9,4.0304
09-Feb-15,16.72,81.52,3114.28,107.76,6.48,8.44,6.62,17.24,288.28,910.96,6.2,45.52,3.0303
